institution,pslf_class,evidence,ein,propublica_match,subsec_code,ntee_code,state,original_class
Conway Reg Health Sys,no_propublica_match,no ProPublica result,,,,,AR,ambiguous
St Bernards Med Ctr,pslf_eligible_501c3,ProPublica match: St Bernards Congregation (501c3),390806197,St Bernards Congregation,3.0,,AR,pslf_friendly
UAMS Regional Centers,no_propublica_match,no ProPublica result,,,,,AR,ambiguous
Unity Health,pslf_eligible_501c3,ProPublica match: Unity Health (501c3),811097358,Unity Health,3.0,E20,AR,ambiguous
White River Health System,pslf_eligible_501c3,ProPublica match: White River (501c3),237371142,White River,3.0,,AR,pslf_friendly
Adventist Health Glendale,pslf_eligible_501c3,ProPublica match: Glendale Adventist Medical Center (501c3),951816017,Glendale Adventist Medical Center,3.0,E220,CA,ambiguous
Adventist Health Hanford,pslf_eligible_501c3,ProPublica match: Adventist Health Volunteer Guild Of Hanford (501c3),946076765,Adventist Health Volunteer Guild Of Hanford,3.0,,CA,ambiguous
Adventist Health Ukiah Valley,pslf_eligible_501c3,ProPublica match: Ukiah Adventist Hospital (501c3),941639901,Ukiah Adventist Hospital,3.0,,CA,ambiguous
Adventist Health White Memorial,pslf_eligible_501c3,ProPublica match: White Memorial Medical Center (501c3),952282647,White Memorial Medical Center,3.0,E220,CA,pslf_friendly
Alameda Health Sys-Highland Hosp,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
AltaMed Health Services,pslf_eligible_501c3,ProPublica match: Altamed Health Services Corp (501c3),952810095,Altamed Health Services Corp,3.0,E320,CA,pslf_friendly
Arrowhead Reg Med Ctr,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
Casa Colina Hosp,pslf_eligible_501c3,ProPublica match: Casa Colina Inc (501c3),953655256,Casa Colina Inc,3.0,F020,CA,ambiguous
Cedars-Sinai Med Ctr,pslf_eligible_501c3,ProPublica match: Cedars Sinai Medical Center (501c3),951644600,Cedars Sinai Medical Center,3.0,E220,CA,pslf_friendly
Charles R Drew University,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
Childrens Hospital-LA,pslf_eligible_501c3,ProPublica match: Childrens Fund (501c3),541946170,Childrens Fund,3.0,,CA,pslf_friendly
Childrens Hospital-Oakland,pslf_eligible_501c3,ProPublica match: Childrens Fund (501c3),541946170,Childrens Fund,3.0,,CA,pslf_friendly
City Of Hope,pslf_eligible_501c3,ProPublica match: City Of Hope (501c3),383955107,City Of Hope,3.0,P60,CA,ambiguous
Clinica Sierra Vista,pslf_eligible_501c3,ProPublica match: Clinica Sierra Vista (501c3),952707101,Clinica Sierra Vista,3.0,E320,CA,ambiguous
College Med Ctr,pslf_eligible_501c3,ProPublica match: Malcolm Bernard Historically Black Colleges & Univ College F (501c3),272691193,Malcolm Bernard Historically Black Colleges & Univ College Fair,3.0,B80,CA,pslf_friendly
Community Mem Health Sys,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Contra Costa Reg Med Ctr,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
Desert Regional Med Ctr,pslf_eligible_501c3,ProPublica match: Naffaa Utah   Dmr Desert Mountain Region (501c3),920357915,Naffaa Utah   Dmr Desert Mountain Region,3.0,R99,CA,pslf_friendly
Dignity Methodist Hosp-Sacramento,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Dignity Northridge Hosp Med Ctr,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
Eisenhower Med Ctr,pslf_eligible_501c3,ProPublica match: Eisenhower Foundation (501c3),480634284,Eisenhower Foundation,3.0,,CA,pslf_friendly
Emanate Health,pslf_eligible_501c3,ProPublica match: Emanate Health (501c3),953885523,Emanate Health,3.0,E210,CA,ambiguous
Family Health Ctrs of San Diego,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Gracelight Community Health,pslf_eligible_501c3,ProPublica match: Gracelight Community Health (501c3),953702136,Gracelight Community Health,3.0,,CA,ambiguous
Harbor-UCLA Med Ctr,pslf_eligible_501c3,ProPublica match: Harbor Ucla Medical Foundation Inc (501c3),330003558,Harbor Ucla Medical Foundation Inc,3.0,E220,CA,pslf_friendly
Huntington Memorial Hosp,pslf_eligible_501c3,ProPublica match: Huntington Memorial Hospital Inc (501c3),351970706,Huntington Memorial Hospital Inc,3.0,E220,CA,pslf_friendly
John Muir Health,pslf_eligible_501c3,ProPublica match: John Muir Health (501c3),941461843,John Muir Health,3.0,E210,CA,ambiguous
KPC Health Hemet Valley Med Ctr,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
Kaiser Permanente-Central Valley,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Fontana,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Los Angeles,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Napa/Solano,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Oakland,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Orange Co,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Riverside,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-SF,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Sacramento Valley,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-San Diego,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-San Jose,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Santa Clara,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Santa Rosa,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaiser Permanente-Woodland Hills,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Kaweah Delta Health Care District,pslf_eligible_501c3,ProPublica match: Kaweah Delta Health Care District Guild (501c3),946078091,Kaweah Delta Health Care District Guild,3.0,E22I,CA,ambiguous
Keck School of Medicine of USC,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
Kern Med Ctr,pslf_eligible_501c3,ProPublica match: Kern Project (501c3),884050805,Kern Project,3.0,D20,CA,pslf_friendly
La Maestra Family Clinic Inc,pslf_eligible_501c3,ProPublica match: La Maestra Family Clinic Inc (501c3),330473171,La Maestra Family Clinic Inc,3.0,E320,CA,ambiguous
Lifelong Medical Care,pslf_eligible_501c3,ProPublica match: Lifelong Medical Care (501c3),942502308,Lifelong Medical Care,3.0,E320,CA,ambiguous
Loma Linda Univ Med Ctr-Murrieta,pslf_eligible_501c3,ProPublica match: Loma Linda University (501c3),951816009,Loma Linda University,3.0,B430,CA,pslf_friendly
Loma Linda University,pslf_eligible_501c3,ProPublica match: Loma Linda University (501c3),951816009,Loma Linda University,3.0,B430,CA,pslf_friendly
Long Beach Mem Med Ctr,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
Los Robles Health System,pslf_eligible_501c3,ProPublica match: Los Robles Housing Association (501c3),330707525,Los Robles Housing Association,3.0,L80,CA,pslf_friendly
Marian Regional Med Ctr,pslf_eligible_501c3,ProPublica match: Marian Regional Medical Center Foundation (501c3),953818027,Marian Regional Medical Center Foundation,3.0,E11,CA,pslf_friendly
Mercy Med Ctr-Merced,pslf_eligible_501c3,ProPublica match: Mercy Association (501c3),452780676,Mercy Association,3.0,P28,CA,pslf_friendly
Mercy Med Ctr-Redding,pslf_eligible_501c3,ProPublica match: Mercy Association (501c3),452780676,Mercy Association,3.0,P28,CA,pslf_friendly
Mission Community Hosp,pslf_eligible_501c3,ProPublica match: Community Mission (501c3),823454640,Community Mission,3.0,K30,CA,ambiguous
Natividad Med Ctr,pslf_eligible_501c3,ProPublica match: Natividad Association (501c3),843900340,Natividad Association,3.0,S80,CA,pslf_friendly
North East Medical Services,pslf_eligible_501c3,ProPublica match: North East Medical Services (501c3),941722562,North East Medical Services,3.0,E300,CA,ambiguous
Olive View-UCLA Med Ctr,pslf_eligible_501c3,ProPublica match: Olive View Ucla Education And Research Institute Inc (501c3),952249539,Olive View Ucla Education And Research Institute Inc,3.0,H00Z,CA,pslf_friendly
PIH Health Hosp Downey,pslf_eligible_501c3,ProPublica match: Pih Health Downey Hosptial (501c3),951903935,Pih Health Downey Hosptial,3.0,E220,CA,ambiguous
Pomona Valley Hosp,pslf_eligible_501c3,ProPublica match: Nami Pomona Valley (501c3),953935762,Nami Pomona Valley,3.0,F80,CA,ambiguous
Presby Intercommunity Hosp,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Prime West Consortium,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Prime West/West Anaheim Med Ctr,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
Riverside Community Hospital,pslf_eligible_501c3,ProPublica match: Riverside Community (501c3),936023091,Riverside Community,3.0,S99,CA,ambiguous
Riverside University Health Sys,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
SW Healthcare Med Ed Consortium,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
San Antonio Regional Hosp,pslf_eligible_501c3,ProPublica match: San Antonio Regional Hospital (501c3),951183919,San Antonio Regional Hospital,3.0,E220,CA,ambiguous
San Joaquin Gen Hosp,pslf_eligible_501c3,ProPublica match: San Joaquin General Hospital Auxiliary (501c3),942772741,San Joaquin General Hospital Auxiliary,3.0,,CA,ambiguous
San Mateo Behavioral Hlth & Recovery Svcs,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
San Ysidro Health,pslf_eligible_501c3,ProPublica match: San Ysidro Health Community Services Inc (501c3),873984396,San Ysidro Health Community Services Inc,3.0,E11,CA,ambiguous
Santa Barbara Cottage Hosp,pslf_eligible_501c3,ProPublica match: Santa Barbara Cottage Hospital (501c3),951644629,Santa Barbara Cottage Hospital,3.0,E220,CA,ambiguous
Santa Clara Valley Med Ctr,pslf_eligible_501c3,ProPublica match: Santa Clara Valley Bird Alliance (501c3),946081420,Santa Clara Valley Bird Alliance,3.0,C300,CA,pslf_friendly
Scripps Clinic/Green Hospital,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Scripps Mercy Hosp-Chula Vista,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Scripps Mercy Hosp-San Diego,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Shasta Community Health Ctr,no_propublica_match,no ProPublica result,,,,,CA,ambiguous
Sierra View Med Ctr,pslf_eligible_501c3,ProPublica match: Sierra View Homes (501c3),946088811,Sierra View Homes,3.0,,CA,pslf_friendly
St Agnes Med Ctr,pslf_eligible_501c3,ProPublica match: St Agnes (501c3),251680487,St Agnes,3.0,,CA,pslf_friendly
St Joseph Hospital-Eureka,pslf_eligible_501c3,ProPublica match: Pflag St Joseph (501c3),462956750,Pflag St Joseph,3.0,,CA,ambiguous
St Josephs Med Ctr,pslf_eligible_501c3,ProPublica match: St Josephs (501c3),910882257,St Josephs,3.0,,CA,pslf_friendly
St Mary Med Ctr-Long Beach,pslf_eligible_501c3,ProPublica match: St Mary Magdalen Catholic Parish In Sunny Isles Beach Inc (501c3),596017199,St Mary Magdalen Catholic Parish In Sunny Isles Beach Inc,3.0,,CA,pslf_friendly
Stanford Health Care Tri-Valley,pslf_eligible_501c3,ProPublica match: Stanford Health Care Tri Valley (501c3),941429628,Stanford Health Care Tri Valley,3.0,E200,CA,pslf_friendly
Stanford Health Care,pslf_eligible_501c3,ProPublica match: Stanford Open (501c3),842586731,Stanford Open,3.0,P12,CA,pslf_friendly
Stanford Univ Progs,no_propublica_match,no ProPublica result,,,,,CA,pslf_friendly
Sutter Health,pslf_eligible_501c3,ProPublica match: Sutter Health (501c3),942788907,Sutter Health,3.0,E21,CA,ambiguous
