pslf_sentiment,primary_topic,pslf_stance,post_id,source
neutral,financial_planning,considering,34d58e4c69d3a7ac,sdn
neutral,general_question,unknown,be4f8f7b02342786,sdn
neutral,financial_planning,unknown,d20ca9c06a7c06b0,sdn
neutral,general_question,considering,1dfb7702d936bfef,sdn
positive,general_question,pursuing,d975912a60e2fae6,sdn
negative,policy_uncertainty,unknown,89f1eb27fe32c345,sdn
neutral,financial_planning,unknown,d075410c7fd193bb,sdn
very_negative,policy_uncertainty,unknown,a8406bc1f964976b,sdn
neutral,general_question,unknown,61aae78373a79dea,sdn
neutral,financial_planning,considering,ae4bca1e2f645abe,sdn
very_negative,policy_uncertainty,pursuing,f01aee3e8c75d46b,sdn
positive,career_impact,considering,05be31671d65d583,sdn
positive,general_question,unknown,6447194e9c15bc4b,sdn
positive,career_impact,pursuing,a299c1f21f7323b5,sdn
neutral,financial_planning,unknown,97e81fa781b2e15d,sdn
neutral,general_question,unknown,5677c9298259a4de,sdn
positive,financial_planning,considering,a048574a952e6ab7,sdn
positive,financial_planning,unknown,6f841ad73d7d15d9,sdn
neutral,general_question,pursuing,f43877a7a834da8d,sdn
neutral,financial_planning,unknown,dbceacb49c0574ac,sdn
very_positive,success_story,completed,cd2b6aa6aafbd5b6,sdn
positive,general_question,unknown,29448474db783960,sdn
neutral,financial_planning,considering,26993d5aa5de8d84,sdn
positive,financial_planning,considering,facfe2db4a27e5a0,sdn
neutral,general_question,unknown,42f7d6dc46f9fec0,sdn
neutral,general_question,pursuing,69273bdb0893dc60,sdn
neutral,general_question,unknown,e945e2f0182303c3,sdn
neutral,financial_planning,considering,87f2a9b012882ab0,sdn
neutral,financial_planning,considering,f927d622616c94e7,sdn
very_positive,success_story,completed,e6ebc54615905063,sdn
very_negative,policy_uncertainty,unknown,0ac07391ec6cb82a,sdn
neutral,general_question,unknown,221f980a5d895b9b,sdn
neutral,policy_uncertainty,unknown,a140bcd850c440bf,sdn
neutral,financial_planning,considering,1bc7fd8cae4e6479,sdn
neutral,financial_planning,considering,bab47874e43f4d13,sdn
neutral,financial_planning,unknown,f403cd2e18ca5b67,sdn
neutral,financial_planning,considering,a9a6e515cf794902,sdn
neutral,financial_planning,considering,d30c97cb5046762c,sdn
neutral,financial_planning,pursuing,eac90848d4b87fe6,sdn
very_positive,success_story,completed,d967ee336362ac20,sdn
neutral,policy_uncertainty,unknown,162e43988256b105,sdn
positive,career_impact,unknown,ee9b1a626bcff5d2,sdn
neutral,financial_planning,unknown,8fe0717f9df26c81,sdn
neutral,career_impact,unknown,0014f3bd434503bd,sdn
positive,career_impact,unknown,417b8f94b8d40f39,sdn
very_positive,success_story,completed,ae5d9e303c5687dd,sdn
neutral,career_impact,considering,ec987976a9ab02f8,sdn
neutral,general_question,unknown,fff1e980fa1d7ae6,sdn
neutral,financial_planning,unknown,8172210196940f54,sdn
negative,policy_uncertainty,unknown,70dfe728ff9e8cba,sdn
neutral,policy_uncertainty,unknown,a8f4a1d339965183,sdn
very_positive,success_story,completed,c00559897c5adb94,sdn
neutral,policy_uncertainty,unknown,3af3e0c2e7c65d96,sdn
negative,career_impact,rejecting,37531877ea12661b,sdn
positive,career_impact,unknown,9f2ef02fd66517a4,sdn
very_negative,financial_planning,rejecting,78ee61bc7d4ac202,sdn
neutral,financial_planning,unknown,91791f20838f1218,sdn
neutral,general_question,considering,6848e51fb366a62c,sdn
neutral,general_question,unknown,5d340d66255cd5aa,sdn
neutral,financial_planning,considering,9913f50508f3aeca,sdn
positive,policy_uncertainty,unknown,1956f3ea863aedd4,sdn
negative,career_impact,considering,c987b19a00ee7a5a,sdn
neutral,financial_planning,unknown,75eeaeb4e0230119,sdn
neutral,financial_planning,unknown,19c06675c67c1fde,sdn
positive,financial_planning,considering,22ba448bc47f3d84,sdn
neutral,financial_planning,unknown,fbba9cb73fc95ff0,sdn
neutral,general_question,unknown,3015ac89bde51b5a,sdn
neutral,financial_planning,pursuing,f86981ede0f361dc,sdn
neutral,policy_uncertainty,unknown,51c6dd476bfeac19,sdn
neutral,financial_planning,unknown,5c534ca0ac92c417,sdn
