post_id,pslf_sentiment,primary_topic,pslf_stance
c9a9cf9fdaafce0b,very_negative,financial_planning,rejecting
fa01398bbe50da14,very_negative,financial_planning,rejecting
5ec17171d01a0ac4,very_negative,financial_planning,rejecting
e6a6f7d120ca4f03,very_negative,financial_planning,rejecting
04052cc55bfce89c,very_negative,frustration_venting,rejecting
af50082d78525af6,very_negative,frustration_venting,rejecting
bb31feede6e3dd59,very_negative,frustration_venting,rejecting
33079922afe304d4,very_negative,frustration_venting,rejecting
b9e1265d2be09500,very_negative,frustration_venting,rejecting
daa6adb8ff4fd01a,very_negative,frustration_venting,rejecting
bef6e7c12d142e3e,very_negative,frustration_venting,rejecting
a4c9102e6e60b5e8,very_negative,frustration_venting,rejecting
a490a61a61f138e1,very_negative,frustration_venting,rejecting
75b1133c8a4e35f0,very_negative,frustration_venting,rejecting
ae53c9e93a6ade7f,very_negative,frustration_venting,rejecting
938627a88458a99a,very_negative,frustration_venting,rejecting
9109f515f64a40f3,very_negative,frustration_venting,rejecting
c036f2f06961e811,very_negative,general_question,rejecting
54be0dbcec0b4e70,very_negative,policy_uncertainty,rejecting
22956d1f1ae3828f,very_negative,policy_uncertainty,unknown
8a541282b71687ba,very_negative,policy_uncertainty,considering
4f470f4f520bfcb2,very_negative,policy_uncertainty,rejecting
d42bb240fc5b320d,very_negative,policy_uncertainty,pursuing
5dd9186fe806ce1e,very_negative,policy_uncertainty,rejecting
b8577a6d1eaabf20,very_negative,policy_uncertainty,pursuing
67b2a8324e742864,very_negative,policy_uncertainty,rejecting
c5d9e6aaafa672c9,very_negative,policy_uncertainty,pursuing
b63356bdc0b1110b,very_negative,policy_uncertainty,pursuing
46c34d31f8138e1d,very_negative,policy_uncertainty,rejecting
ab6e049ceb9fe1fd,very_negative,policy_uncertainty,pursuing
351f3e90c5bb56f5,very_negative,policy_uncertainty,considering
7b38c9860157551a,very_negative,servicer_issues,rejecting
910a3f6c61f5b3ca,very_negative,servicer_issues,rejecting
5a3a501d54f314c8,very_negative,servicer_issues,rejecting
38ede9c996c00df2,very_negative,servicer_issues,rejecting
87b62f8bf9a152c1,very_negative,servicer_issues,rejecting
f9f6bbdf8c7aa6b6,very_negative,servicer_issues,unknown
02c9ce51f0af5fa8,very_negative,servicer_issues,unknown
8c866c50a3f403ba,very_negative,servicer_issues,rejecting
dc5973580925a6aa,very_negative,servicer_issues,rejecting
734783410cf4754b,very_negative,servicer_issues,rejecting
780e9def881a749e,very_positive,financial_planning,unknown
a0e947444a5f9b0d,very_positive,financial_planning,pursuing
763d5415278e0ed5,very_positive,financial_planning,pursuing
afec9c001619c2d4,very_positive,financial_planning,pursuing
9c8f62a8cb6cae27,very_positive,financial_planning,pursuing
2acc2e4daebef778,very_positive,financial_planning,pursuing
0f3e8c43d645bd6c,very_positive,financial_planning,pursuing
d81a5e3e6d6fedf1,very_positive,financial_planning,considering
0a6d4e728d99ec9c,very_positive,financial_planning,pursuing
e0adcaffff8fb579,very_positive,financial_planning,pursuing
cdfd8a8cb1957422,very_positive,financial_planning,pursuing
54da763efe8e696d,very_positive,financial_planning,pursuing
68a2d3175cd5f506,very_positive,policy_uncertainty,pursuing
3b4ade574b4af2b0,very_positive,policy_uncertainty,pursuing
c8c2c50b82772ea0,very_positive,policy_uncertainty,pursuing
c1fbe2ff4d1fde19,very_positive,policy_uncertainty,pursuing
99342a6940a47ce7,very_positive,policy_uncertainty,pursuing
0d6c5b417fdb905a,very_positive,policy_uncertainty,pursuing
dc49281fff0c7595,very_positive,policy_uncertainty,pursuing
5b29b3d87ffd8556,very_positive,policy_uncertainty,pursuing
87c2017e71599a57,very_positive,policy_uncertainty,pursuing
9770ca9971e2d1f0,very_positive,policy_uncertainty,pursuing
5cd49618575ae30c,very_positive,success_story,completed
811d5c1ef9eee682,very_positive,success_story,completed
fbd75008c62f0514,very_positive,success_story,completed
b3942de14c9f092e,very_positive,success_story,completed
a5f008bd28a138e0,very_positive,success_story,completed
5018a2e2f676bc55,very_positive,success_story,completed
d967ee336362ac20,very_positive,success_story,completed
35696ed558cb08c5,very_positive,success_story,completed
84a1a2a0fae693da,very_positive,success_story,completed
c3aa828dd5acb946,very_positive,success_story,completed
3df726a844651405,very_positive,success_story,completed
cae4c4b6efde33f4,very_positive,success_story,completed
ab8e54d89dfe6085,very_positive,success_story,completed
cfbfaf7b26833759,negative,policy_uncertainty,considering
837b3a1c5308863e,negative,policy_uncertainty,rejecting
5c54349bc0a5aeb6,negative,policy_uncertainty,considering
40903f41c061fc57,neutral,financial_planning,unknown
afacead733090b62,negative,policy_uncertainty,considering
a5bbad99f91de7c7,negative,policy_uncertainty,rejecting
ffcb08083848bed7,neutral,financial_planning,unknown
90262212d20e4f14,neutral,financial_planning,unknown
1820a11d33aed5cc,very_positive,success_story,completed
b49f45d36f57b5b9,negative,policy_uncertainty,considering
e840a05f5e0bcda9,neutral,financial_planning,unknown
ace6f24d798fbc5a,positive,policy_uncertainty,unknown
659fb7bb3aac7902,neutral,financial_planning,unknown
ee46c1a6fa1c0b7d,negative,policy_uncertainty,unknown
1e6174bba846a591,neutral,financial_planning,unknown
e2d4b73fa7a2bcb5,neutral,career_impact,considering
65da0e0c56fbe2a2,neutral,general_question,unknown
6bc25cbaa7e3ca4c,neutral,general_question,unknown
c2c5baab54600274,neutral,general_question,unknown
8def285beacfae40,negative,policy_uncertainty,unknown
7499fd8b68972b68,neutral,general_question,considering
cded9c4527f14bb3,negative,financial_planning,rejecting
02e2702963803b92,positive,success_story,pursuing
e1fe2bf894b95673,positive,career_impact,pursuing
a117ee8a4cc5503e,negative,policy_uncertainty,unknown
7b0d3defc6e91651,neutral,financial_planning,unknown
27a94d850e980905,neutral,general_question,considering
3353f8bf352412a8,neutral,general_question,unknown
fb5e99a6185b1c7b,neutral,financial_planning,unknown
e76761889f6ab09e,neutral,policy_uncertainty,unknown
793b3524cfba9205,negative,financial_planning,rejecting
96782aed44d34faa,negative,policy_uncertainty,unknown
36fbef74a5363fa9,neutral,financial_planning,unknown
d5c04d709c26d3dc,positive,general_question,pursuing
