pslf_sentiment,primary_topic,pslf_stance,post_id,source
neutral,financial_planning,considering,9fe61de1f375c036,sdn
positive,financial_planning,considering,510342e23672fb46,sdn
very_negative,financial_planning,pursuing,e94a7dd6d434910b,sdn
neutral,general_question,pursuing,79086eb23fb5c034,sdn
neutral,general_question,considering,0fe31f1323fa8452,sdn
neutral,financial_planning,unknown,72def1ff38551d84,sdn
neutral,financial_planning,unknown,d9818886059f8ac9,sdn
neutral,career_impact,considering,f9c91cc5f6443d31,sdn
neutral,career_impact,considering,f428423397d4e00f,sdn
neutral,financial_planning,considering,34d58e4c69d3a7ac,sdn
neutral,general_question,unknown,be4f8f7b02342786,sdn
neutral,financial_planning,unknown,d20ca9c06a7c06b0,sdn
neutral,general_question,considering,1dfb7702d936bfef,sdn
positive,general_question,pursuing,d975912a60e2fae6,sdn
negative,policy_uncertainty,unknown,89f1eb27fe32c345,sdn
neutral,financial_planning,unknown,d075410c7fd193bb,sdn
very_negative,policy_uncertainty,unknown,a8406bc1f964976b,sdn
neutral,general_question,unknown,61aae78373a79dea,sdn
neutral,financial_planning,considering,ae4bca1e2f645abe,sdn
very_negative,policy_uncertainty,pursuing,f01aee3e8c75d46b,sdn
positive,career_impact,considering,05be31671d65d583,sdn
positive,career_impact,unknown,6447194e9c15bc4b,sdn
positive,career_impact,pursuing,a299c1f21f7323b5,sdn
neutral,financial_planning,unknown,97e81fa781b2e15d,sdn
neutral,general_question,unknown,5677c9298259a4de,sdn
positive,financial_planning,considering,a048574a952e6ab7,sdn
positive,financial_planning,unknown,6f841ad73d7d15d9,sdn
neutral,general_question,pursuing,f43877a7a834da8d,sdn
neutral,financial_planning,unknown,dbceacb49c0574ac,sdn
very_positive,success_story,completed,cd2b6aa6aafbd5b6,sdn
positive,general_question,unknown,29448474db783960,sdn
neutral,financial_planning,considering,26993d5aa5de8d84,sdn
positive,financial_planning,considering,facfe2db4a27e5a0,sdn
neutral,general_question,unknown,42f7d6dc46f9fec0,sdn
neutral,general_question,pursuing,69273bdb0893dc60,sdn
neutral,general_question,unknown,e945e2f0182303c3,sdn
neutral,financial_planning,considering,87f2a9b012882ab0,sdn
neutral,financial_planning,considering,f927d622616c94e7,sdn
very_positive,success_story,completed,e6ebc54615905063,sdn
very_negative,policy_uncertainty,unknown,0ac07391ec6cb82a,sdn
neutral,general_question,unknown,221f980a5d895b9b,sdn
negative,policy_uncertainty,unknown,a140bcd850c440bf,sdn
neutral,financial_planning,considering,1bc7fd8cae4e6479,sdn
neutral,financial_planning,considering,bab47874e43f4d13,sdn
neutral,financial_planning,unknown,f403cd2e18ca5b67,sdn
neutral,financial_planning,considering,a9a6e515cf794902,sdn
neutral,financial_planning,considering,d30c97cb5046762c,sdn
neutral,financial_planning,considering,eac90848d4b87fe6,sdn
very_positive,success_story,completed,d967ee336362ac20,sdn
neutral,policy_uncertainty,unknown,162e43988256b105,sdn
positive,career_impact,considering,ee9b1a626bcff5d2,sdn
neutral,financial_planning,unknown,8fe0717f9df26c81,sdn
neutral,career_impact,unknown,0014f3bd434503bd,sdn
neutral,career_impact,unknown,417b8f94b8d40f39,sdn
very_positive,success_story,completed,ae5d9e303c5687dd,sdn
neutral,career_impact,considering,ec987976a9ab02f8,sdn
neutral,general_question,unknown,fff1e980fa1d7ae6,sdn
neutral,general_question,unknown,8172210196940f54,sdn
negative,policy_uncertainty,unknown,70dfe728ff9e8cba,sdn
neutral,policy_uncertainty,unknown,a8f4a1d339965183,sdn
very_positive,success_story,completed,c00559897c5adb94,sdn
neutral,policy_uncertainty,unknown,3af3e0c2e7c65d96,sdn
negative,career_impact,rejecting,37531877ea12661b,sdn
positive,career_impact,unknown,9f2ef02fd66517a4,sdn
very_negative,financial_planning,rejecting,78ee61bc7d4ac202,sdn
neutral,financial_planning,considering,91791f20838f1218,sdn
neutral,general_question,considering,6848e51fb366a62c,sdn
neutral,general_question,unknown,5d340d66255cd5aa,sdn
neutral,financial_planning,considering,9913f50508f3aeca,sdn
positive,policy_uncertainty,unknown,1956f3ea863aedd4,sdn
negative,career_impact,considering,c987b19a00ee7a5a,sdn
neutral,financial_planning,unknown,75eeaeb4e0230119,sdn
neutral,financial_planning,unknown,19c06675c67c1fde,sdn
positive,financial_planning,considering,22ba448bc47f3d84,sdn
neutral,financial_planning,unknown,fbba9cb73fc95ff0,sdn
neutral,general_question,unknown,3015ac89bde51b5a,sdn
neutral,financial_planning,considering,f86981ede0f361dc,sdn
neutral,policy_uncertainty,unknown,51c6dd476bfeac19,sdn
neutral,financial_planning,considering,5c534ca0ac92c417,sdn
positive,financial_planning,unknown,92b2a4de6811bb14,sdn
positive,career_impact,pursuing,08c250a0f07c6af2,sdn
negative,general_question,unknown,526201447e7afc86,sdn
neutral,financial_planning,pursuing,078eb119e33a4a34,sdn
neutral,career_impact,unknown,c80c4f6ed65ea432,sdn
very_positive,success_story,completed,84a1a2a0fae693da,sdn
neutral,servicer_issues,considering,f49a440951c31767,sdn
neutral,financial_planning,considering,483856a55f87bee8,sdn
neutral,financial_planning,considering,d5a178f75e75a905,sdn
neutral,financial_planning,unknown,bcfe839a305abf1b,sdn
positive,career_impact,pursuing,cbb61d8b399aad58,sdn
neutral,financial_planning,considering,83f50a35a8dc39f6,sdn
very_positive,success_story,completed,82350b391060d985,sdn
neutral,financial_planning,unknown,0bf544b06577bdd8,sdn
neutral,financial_planning,unknown,5e469b798458bf80,sdn
neutral,general_question,considering,b3ad3661536640a8,sdn
neutral,financial_planning,considering,ce838cb2dc729f92,sdn
neutral,financial_planning,unknown,1f52b52da2c9161e,sdn
very_negative,policy_uncertainty,considering,72e69d43deb18af0,sdn
neutral,career_impact,pursuing,71f6b23e50e10acb,sdn
neutral,general_question,considering,3181b2b7ecbfab98,sdn
very_positive,success_story,completed,db3934d1512abb4f,sdn
positive,general_question,pursuing,ee98022b35d7cf12,sdn
positive,career_impact,considering,72d542b492e15978,sdn
neutral,general_question,unknown,865e5b6d62d64082,sdn
neutral,financial_planning,considering,5db592a8e3b64c4e,sdn
neutral,general_question,unknown,493b6049e056e300,sdn
neutral,policy_uncertainty,pursuing,c935170b553555b2,sdn
neutral,financial_planning,considering,f8db46f65ae1f260,sdn
neutral,financial_planning,unknown,f9ea39e011c4a19f,sdn
neutral,general_question,pursuing,d1e17b1027381b02,sdn
neutral,financial_planning,considering,fc20fff4253826cf,sdn
neutral,financial_planning,considering,d72de24e41c85d96,sdn
neutral,career_impact,considering,5271ce0ec39125d9,sdn
negative,policy_uncertainty,unknown,ec1f3f0c7ad1b7f3,sdn
neutral,general_question,unknown,bd5a231b87a50b10,sdn
neutral,financial_planning,pursuing,36dfd510cbf3f5d0,sdn
negative,financial_planning,rejecting,cf2d09e4a0cf446a,sdn
neutral,general_question,considering,597f37ba7f7b386b,sdn
neutral,career_impact,pursuing,f6139e844cfd727b,sdn
positive,general_question,pursuing,16f821bf9e4369bc,sdn
neutral,policy_uncertainty,unknown,9cfa08660a1bb86f,sdn
negative,policy_uncertainty,unknown,21ae474670338613,sdn
neutral,financial_planning,rejecting,37fc773c94458bff,sdn
neutral,financial_planning,unknown,d750037b556cccd9,sdn
neutral,financial_planning,unknown,eb4b4581b7a83529,sdn
negative,financial_planning,rejecting,d7f35fe4a8aa6adc,sdn
neutral,financial_planning,considering,7ceaacb820f1cae9,sdn
negative,financial_planning,rejecting,382e50f207e985ba,sdn
negative,career_impact,considering,491fe71c752365ed,sdn
neutral,financial_planning,unknown,9e5fe1d623724481,sdn
neutral,policy_uncertainty,unknown,b444665d6b6fcb6c,sdn
neutral,career_impact,unknown,f2ef7085cbdb6f0e,sdn
very_positive,success_story,completed,fdd70e3d28c90440,sdn
neutral,financial_planning,considering,23246dc28b76b3aa,sdn
neutral,general_question,considering,3b63ba9a7ad50ba1,sdn
neutral,financial_planning,pursuing,dab8c9051ec24983,sdn
neutral,career_impact,considering,1f75461ada4f3ca7,sdn
negative,financial_planning,rejecting,6dc07f6ec7452889,sdn
neutral,career_impact,unknown,e6123f91c10de133,sdn
neutral,financial_planning,unknown,4ff55523aa3276f3,sdn
positive,success_story,completed,ee2499b2e887f9d6,sdn
negative,policy_uncertainty,considering,7f56ab8a66ace290,sdn
neutral,policy_uncertainty,unknown,eac55457e71f0285,sdn
negative,policy_uncertainty,unknown,3e66aa3a93d185e6,sdn
neutral,financial_planning,considering,a649da0cf231df92,sdn
positive,financial_planning,considering,747274f05c4e091a,sdn
neutral,general_question,unknown,064c6acd9c8f344a,sdn
neutral,financial_planning,considering,a91f35bee1264f76,sdn
neutral,financial_planning,unknown,1d7a48dd61dbc8ac,sdn
neutral,career_impact,unknown,26ebce7c9e26c434,sdn
neutral,financial_planning,considering,854963b0c5b2f5bc,sdn
negative,financial_planning,rejecting,47f447a2c0f2c4cc,sdn
neutral,career_impact,considering,aa09eec556ad79ba,sdn
negative,financial_planning,rejecting,1ff63b006b2a2b29,sdn
negative,financial_planning,pursuing,907f5fc6c1924a11,sdn
neutral,general_question,unknown,61396e392b078ed7,sdn
neutral,financial_planning,rejecting,a21b66392e660b42,sdn
very_negative,policy_uncertainty,unknown,6f1e939f04f61da8,sdn
positive,career_impact,unknown,0160b1b49b03db3e,sdn
neutral,policy_uncertainty,unknown,b7b241dad6a15f95,sdn
neutral,financial_planning,pursuing,a78a12c26100e6ef,sdn
neutral,general_question,considering,4d4a21cf03734ff7,sdn
neutral,career_impact,pursuing,19dc1d252f76e1af,sdn
positive,career_impact,pursuing,b99aac3d1b635f99,sdn
negative,servicer_issues,unknown,18567b9e112d6028,sdn
neutral,financial_planning,unknown,c0d0aad404d0765e,sdn
neutral,financial_planning,unknown,b0645cb51dc2a051,sdn
neutral,financial_planning,considering,dbfb1a43ed19729b,sdn
positive,career_impact,pursuing,c4550e24c5b361a7,sdn
neutral,career_impact,considering,30cf423fff0c04a5,sdn
neutral,financial_planning,unknown,749db5c92c961cc0,sdn
neutral,career_impact,pursuing,189bf8541e2bdc22,sdn
neutral,financial_planning,unknown,f2b88ffe36080c7c,sdn
neutral,policy_uncertainty,unknown,30952d216b123862,sdn
neutral,financial_planning,unknown,0669779912a21b4d,sdn
neutral,financial_planning,rejecting,3385381a63436fa7,sdn
negative,financial_planning,rejecting,7a97fdf0b6ad480e,sdn
neutral,general_question,unknown,e3cb568bbd570ab6,sdn
neutral,financial_planning,considering,8e64e6bfa989039e,sdn
positive,career_impact,pursuing,d89f03de8e2204f3,sdn
positive,policy_uncertainty,unknown,7888ddde4ebe6a38,sdn
positive,career_impact,pursuing,e1fe2bf894b95673,sdn
neutral,policy_uncertainty,unknown,9f72b0cc66e0c1b6,sdn
positive,career_impact,pursuing,1862726dea11016b,sdn
neutral,general_question,unknown,616e26e51aae04e0,sdn
positive,policy_uncertainty,unknown,6c6add3f5b658b4f,sdn
neutral,financial_planning,pursuing,981ba15dbb4a15eb,sdn
negative,policy_uncertainty,pursuing,e3441e4558d6e912,sdn
neutral,general_question,considering,5d4d24b8cdc40da4,sdn
neutral,financial_planning,rejecting,471deee071981a6f,sdn
positive,financial_planning,unknown,2c22888a0d47bb65,sdn
neutral,financial_planning,unknown,60b9b7068ac655ce,sdn
negative,policy_uncertainty,considering,87392571e7e7572f,sdn
negative,policy_uncertainty,unknown,ba9155c775c103a6,sdn
negative,career_impact,considering,c244ddcc746b379d,sdn
neutral,financial_planning,considering,466a12a965a2d0d8,sdn
neutral,financial_planning,considering,139b9668b49d9e99,sdn
positive,general_question,pursuing,3df74ae4dde532cb,sdn
positive,financial_planning,considering,3f2861a3efe7c58f,sdn
very_negative,policy_uncertainty,rejecting,5dd9186fe806ce1e,sdn
neutral,financial_planning,considering,aff181fd485c2ad4,sdn
positive,general_question,pursuing,3a63790a15e9933e,sdn
neutral,financial_planning,considering,4f8b2e0a28651f51,sdn
neutral,financial_planning,considering,061ecd8b9aa51d23,sdn
neutral,financial_planning,unknown,28d3243680667bf7,sdn
negative,policy_uncertainty,unknown,7cad170634fbabe3,sdn
neutral,financial_planning,considering,0bf3efe54ffe3273,sdn
very_negative,financial_planning,unknown,37bd55c53b0ac467,sdn
positive,career_impact,considering,89185a7872fec610,sdn
neutral,policy_uncertainty,considering,39606eddc5fd1188,sdn
negative,policy_uncertainty,considering,d3e31249453b217c,sdn
negative,policy_uncertainty,unknown,8def285beacfae40,sdn
neutral,career_impact,pursuing,9ac79026e6ec9cbf,sdn
positive,financial_planning,considering,ac2e1a994abc6db1,sdn
neutral,financial_planning,unknown,83289f79238c9a82,sdn
very_negative,financial_planning,rejecting,8ef8311aa59e2fd0,sdn
neutral,general_question,unknown,b9f3a1605c33bf4f,sdn
positive,policy_uncertainty,pursuing,5314cb5e1c818604,sdn
negative,frustration_venting,rejecting,19a5ba36105751e8,sdn
neutral,financial_planning,pursuing,f1b13a04ae47bfaa,sdn
neutral,financial_planning,unknown,a67781c6939915a5,sdn
neutral,career_impact,pursuing,645f6e703cd7ee58,sdn
very_negative,financial_planning,rejecting,458f9bbe7b601ab2,sdn
neutral,financial_planning,considering,3d22400476ef0aab,sdn
neutral,financial_planning,unknown,57fd27b6a215860c,sdn
neutral,career_impact,considering,108faa346fff084c,sdn
negative,policy_uncertainty,considering,d08b99623a1da1f7,sdn
very_negative,policy_uncertainty,rejecting,be10c46073e18d5f,sdn
neutral,financial_planning,considering,8ab25fc880a63415,sdn
neutral,policy_uncertainty,unknown,4ed28306d648fa86,sdn
neutral,policy_uncertainty,unknown,af5907b1b80407b8,sdn
very_positive,success_story,completed,3d1666c2d09ad177,sdn
very_negative,policy_uncertainty,rejecting,523f943a4e6b35a6,sdn
positive,financial_planning,pursuing,b1c6c22314d1f2ee,sdn
neutral,general_question,unknown,887274633bd50cfc,sdn
neutral,general_question,considering,4cb75cedb315c88e,sdn
negative,career_impact,rejecting,a5bbad99f91de7c7,sdn
neutral,financial_planning,unknown,b391571b1bdd5bc5,sdn
neutral,financial_planning,rejecting,33a04ae39c919f4b,sdn
neutral,general_question,unknown,7c2886c8c46ac01f,sdn
neutral,financial_planning,pursuing,ff8805c4e3b9807f,sdn
neutral,general_question,considering,18723b2b61216d9f,sdn
positive,financial_planning,pursuing,a1e663e8c7a6a92c,sdn
negative,servicer_issues,unknown,10b859d378b93f09,sdn
positive,financial_planning,unknown,4735c74b63d74df3,sdn
negative,policy_uncertainty,pursuing,ea51fd8009d3de25,sdn
neutral,general_question,unknown,54fbef06cc644cd9,sdn
neutral,financial_planning,considering,dac897df35b63360,sdn
positive,success_story,considering,f76be6ef7714e267,sdn
neutral,general_question,considering,830d58e0d1ebec28,sdn
very_negative,policy_uncertainty,rejecting,3c196cfec4b7532a,sdn
neutral,policy_uncertainty,unknown,cb026b3520dc1dd7,sdn
neutral,financial_planning,considering,053d2a8463774d7c,sdn
positive,success_story,completed,df6016fc655015c9,sdn
positive,general_question,unknown,dab3ec0a540d6c46,sdn
negative,career_impact,rejecting,f914ba4e00a6b549,sdn
neutral,general_question,considering,f24bbb15bbefbf15,sdn
positive,financial_planning,pursuing,2562ad5434b44c40,sdn
neutral,career_impact,considering,4e93a11904282063,sdn
neutral,policy_uncertainty,unknown,1a41237ebe0dedda,sdn
neutral,financial_planning,pursuing,affa68254fc13aee,sdn
positive,financial_planning,pursuing,0ee92892e0b09947,sdn
negative,financial_planning,unknown,bd3c3d201ef1450a,sdn
negative,career_impact,rejecting,3fede8cffb0f41d5,sdn
positive,financial_planning,pursuing,e424d5ba12d6d174,sdn
negative,career_impact,considering,bd3f99fc10e7c0d4,sdn
neutral,general_question,unknown,da67319ffaf8157f,sdn
negative,career_impact,rejecting,5eb9ef86b04d7fb0,sdn
negative,policy_uncertainty,pursuing,1bff81de4c1e20b5,sdn
neutral,general_question,unknown,389f630797d65b07,sdn
negative,career_impact,rejecting,e685e9905c578692,sdn
negative,financial_planning,rejecting,2660881939bc7da0,sdn
positive,success_story,pursuing,037350eef08a87bc,sdn
neutral,financial_planning,unknown,01d53dde4db25e90,sdn
positive,financial_planning,pursuing,311947c071a99ce2,sdn
positive,policy_uncertainty,unknown,c1fbe2ff4d1fde19,sdn
neutral,financial_planning,pursuing,9cdb1a9655b98d31,sdn
very_positive,success_story,completed,44e1f612518b3540,sdn
unknown,general_question,unknown,d0b1dd6b36354980,sdn
