post_id,rejection_reason,confidence,error
be7c0b4864fdb622,alternative_strategy,high,
e13ab84c6a1a5b09,employer_mismatch,high,
35d51aa3de865989,employer_mismatch,high,
9f9ef3d0bebad510,servicer_distrust,high,
9ccda4b5be241eba,employer_mismatch,high,
dcdf19a9e4e5ce7f,alternative_strategy,high,
b4267e8bcb1ea711,employer_mismatch,high,
a2adab82d40dd842,servicer_distrust,high,
837b3a1c5308863e,servicer_distrust,high,
78580e6074abead2,employer_mismatch,high,
6302d9098de17271,employer_mismatch,high,
b083401204b69618,servicer_distrust,high,
59c55b254785820d,employer_mismatch,high,
5d79d95aefa8633b,employer_mismatch,high,
a0874d782cd22551,servicer_distrust,high,
65fe692e04c21000,employer_mismatch,high,
5faa5c6d190373ef,employer_mismatch,high,
c8b7f16c7678a847,servicer_distrust,high,
d00efcf5bf210942,employer_mismatch,high,
dc3737331c7f1069,alternative_strategy,high,
c61662c2c39d96b1,employer_mismatch,high,
17225c1b6de97e2d,servicer_distrust,high,
f8204ad974019199,alternative_strategy,high,
0b5dc5bb41ea7295,employer_mismatch,high,
fa0e0aa8840e8084,servicer_distrust,high,
8d9013db7b0f85f5,alternative_strategy,high,
60fe6784d06eef65,employer_mismatch,high,
310304d76c767a60,servicer_distrust,high,
6f9cccf5ad37a0c5,alternative_strategy,high,
c8122fea5e086146,employer_mismatch,high,
f967a1a659454eac,servicer_distrust,high,
369d7a9af7ee7e6b,servicer_distrust,high,
2b57b9614f069acf,alternative_strategy,high,
ba47731074819068,cost_complexity,medium,
035c578d937f0225,servicer_distrust,high,
fdd05c6ce91020c4,servicer_distrust,high,
af50082d78525af6,servicer_distrust,high,
5ec17171d01a0ac4,servicer_distrust,medium,
a200b1f5c71f934f,servicer_distrust,high,
33079922afe304d4,servicer_distrust,high,
a490a61a61f138e1,servicer_distrust,high,
e6a6f7d120ca4f03,servicer_distrust,medium,
125c5878fa9b4301,no_reason_given,high,
ae54880509692872,alternative_strategy,high,
ad706fb9944205b5,servicer_distrust,medium,
9197570c5610733f,employer_mismatch,high,
5a41a2633ad1a37a,servicer_distrust,medium,
4f209f7bcfffacdc,servicer_distrust,high,
4e40a4dbb1e28278,servicer_distrust,high,
ce4aa339998e2009,servicer_distrust,high,
3227d5bbb5a8a984,servicer_distrust,high,
7848f98eb44136bb,servicer_distrust,high,
1cfcada09b970460,servicer_distrust,high,
09e6a083067606fb,servicer_distrust,high,
7282cd97df86f9af,servicer_distrust,high,
56e05c1bb89e5bef,servicer_distrust,high,
6f1557df74b9bf4a,servicer_distrust,high,
8eccc58fa5c55989,servicer_distrust,high,
54be0dbcec0b4e70,servicer_distrust,medium,
72bfb4f41b55cf06,servicer_distrust,high,
a387fd4fd8637fe8,servicer_distrust,high,
2dcb8c076437f032,servicer_distrust,medium,
60d3cde654a8725e,servicer_distrust,medium,
2adffbc6a3eb0014,servicer_distrust,medium,
85dc4a1110df15f0,servicer_distrust,medium,
124dd65e68438158,alternative_strategy,high,
3621bd03262eaa11,alternative_strategy,high,
e87b25374dc0b524,alternative_strategy,high,
110fd00b3137718a,alternative_strategy,high,
b7f7066d6d57fe59,alternative_strategy,high,
cc870eb433f9b8d9,alternative_strategy,high,
cded9c4527f14bb3,alternative_strategy,high,
e9b72fe7af16797a,alternative_strategy,high,
5fce7981aa368725,servicer_distrust,high,
370deabb1751c6c5,alternative_strategy,high,
ebda37a7e53b02a7,timeline_too_long,high,
324f14684cd07eab,timeline_too_long,high,
593f0b328843fd6b,timeline_too_long,high,
1a1f24cdf73e80f1,timeline_too_long,high,
dca1bf489998c694,timeline_too_long,high,
c54c9831d2997fb2,timeline_too_long,high,
473953a19e451ca5,no_reason_given,high,
f726647b255ea97a,no_reason_given,high,
71df20a2ccab40bd,alternative_strategy,high,
7692eaa888191e24,no_reason_given,high,
a5e03e28844e34a2,alternative_strategy,high,
4cf02e0c251b139e,no_reason_given,high,
6b097714d2390609,alternative_strategy,high,
673386e9c21f9763,no_reason_given,high,
f67e431d13e26639,no_reason_given,high,
3335ef8362038fbd,alternative_strategy,high,
2ef948871eb6152e,no_reason_given,high,
4dc8ca056499895d,alternative_strategy,high,
81d4fd32124f8692,no_reason_given,high,
f174cccf48b6d89e,no_reason_given,high,
a01467c5c1d4c3be,no_reason_given,high,
e060f5c342faf2d2,no_reason_given,high,
9f0751bddf086595,alternative_strategy,high,
91d946c4162f7d2e,employer_mismatch,high,
55fb89873af91384,timeline_too_long,high,
7fa0968a0d369b97,timeline_too_long,high,
1pdl9bo,no_reason_given,high,
1lt71bk,alternative_strategy,high,
1l6ihgt,cost_complexity,medium,
1t134cd,job_change,high,
1s8vgh1,no_reason_given,high,
1mvxtos,no_reason_given,high,
1sebqwu,employer_mismatch,high,
1lvuqa4,no_reason_given,high,
1lzan85,no_reason_given,high,
1t4zq8h,no_reason_given,high,
1t4d0ym,forbearance_fatigue,high,
1t0wpwn,employer_mismatch,high,
1sz9b2z,no_reason_given,high,
1sxbtur,no_reason_given,high,
1srufjy,alternative_strategy,high,
1srgysi,timeline_too_long,high,
1sn591i,timeline_too_long,medium,
1sks0fl,no_reason_given,high,
1sjo34x,job_change,high,
1sfs72j,employer_mismatch,high,
1sffg8v,no_reason_given,high,
1semng2,no_reason_given,high,
1sej2a1,job_change,high,
1sdypnl,other,medium,
1samrld,no_reason_given,high,
1s9w9l0,employer_mismatch,high,
1s9twj9,no_reason_given,high,
1s9tn8y,employer_mismatch,high,
1s9r3n0,employer_mismatch,high,
1s9pvtc,job_change,high,
1s7sb5o,no_reason_given,high,
1s9p3ne,alternative_strategy,high,
1lzxd3m,no_reason_given,high,
1m5j5fv,employer_mismatch,high,
1gq6m4x,forbearance_fatigue,high,
n3notz,employer_mismatch,high,
1mtt76m,employer_mismatch,high,
1gtmi28,timeline_too_long,high,
hrfedj,servicer_distrust,medium,
1s7yk5a,job_change,high,
1me8w58,employer_mismatch,high,
1ry78lo,no_reason_given,high,
1r17p3p,employer_mismatch,high,
1l1qfdh,employer_mismatch,high,
1mqn5fi,timeline_too_long,high,
1sza632,no_reason_given,high,
1sc8h4o,job_change,high,
1m0wmej,timeline_too_long,high,
1ly11ru,timeline_too_long,high,
1m1qj58,no_reason_given,high,
1l5wl1a,no_reason_given,high,
977kvx,servicer_distrust,medium,
a75bq1,servicer_distrust,high,
24hw4i,alternative_strategy,high,
1kpoc9x,job_change,high,
1s2iffe,no_reason_given,high,
1s1rhex,employer_mismatch,high,
1rwnci6,no_reason_given,high,
1rvr2yg,alternative_strategy,high,
mh82s8,timeline_too_long,high,
8bdx1o,servicer_distrust,high,
1rzqpnf,servicer_distrust,high,
1rktkf0,no_reason_given,high,
1rkievd,servicer_distrust,high,
1rk08fs,employer_mismatch,high,
1rjmpo5,employer_mismatch,high,
1rfb2jw,servicer_distrust,high,
1rb6epp,alternative_strategy,high,
1r17px9,employer_mismatch,high,
1qvsaih,no_reason_given,high,
1qvr77z,alternative_strategy,high,
1qv87px,timeline_too_long,high,
1qtcw9h,no_reason_given,high,
1qsbbin,no_reason_given,high,
1qhof4u,employer_mismatch,high,
1qhgeav,no_reason_given,high,
1qgntrg,job_change,high,
1qeze43,no_reason_given,high,
1qd63wa,employer_mismatch,high,
8k1f17,alternative_strategy,high,
7odurh,timeline_too_long,high,
1rzxl1o,alternative_strategy,high,
1l6jxh5,no_reason_given,high,
1h6qgqg,employer_mismatch,high,
1h20fta,employer_mismatch,high,
1avuin8,no_reason_given,high,
1mttxbu,job_change,high,
1mshun2,employer_mismatch,high,
1mr85gi,alternative_strategy,high,
1mika1m,no_reason_given,high,
1mfe50r,no_reason_given,high,
1n3iuiq,employer_mismatch,high,
1h6qhho,employer_mismatch,high,
118hlvm,servicer_distrust,high,
1m96rmq,no_reason_given,high,
1mhk70o,no_reason_given,high,
1m6xbe8,no_reason_given,high,
17co3oo,employer_mismatch,high,
1n514j3,forbearance_fatigue,high,
oz7314,employer_mismatch,high,
r3iqjp,job_change,high,
rsl2kj,employer_mismatch,high,
v6s47b,employer_mismatch,high,
vs8ejx,job_change,high,
y4vyyl,employer_mismatch,high,
15gpzps,no_reason_given,high,
15kwysc,no_reason_given,high,
16lkq1m,no_reason_given,high,
1e6vrbn,employer_mismatch,high,
1ehkkfr,no_reason_given,high,
1hxgifd,no_reason_given,high,
1j53zb5,no_reason_given,high,
1kaul5l,employer_mismatch,high,
rjwbtx,servicer_distrust,medium,
rqmzsn,alternative_strategy,high,
167qutg,servicer_distrust,high,
vnlqp4,employer_mismatch,high,
w28gn5,no_reason_given,high,
151msao,employer_mismatch,high,
16xft6n,alternative_strategy,high,
1dvh5fx,employer_mismatch,high,
1eng3d1,employer_mismatch,high,
1ifg9bq,no_reason_given,high,
1j18qsk,no_reason_given,high,
15v5xpo,employer_mismatch,high,
r8axxo,no_reason_given,high,
xe3tdz,no_reason_given,high,
16i7mtr,alternative_strategy,medium,
r2ag6q,servicer_distrust,medium,
1kb34x6,no_reason_given,high,
v1uf4j,job_change,high,
1i6zlnv,no_reason_given,high,
vq1sae,no_reason_given,high,
1fnb1x4,employer_mismatch,high,
1k8d5do,job_change,high,
1k8e2cq,job_change,high,
18rrfw8,employer_mismatch,high,
oqhv1d,employer_mismatch,high,
p7fbi4,alternative_strategy,high,
qorvh4,employer_mismatch,high,
rabgwq,timeline_too_long,high,
sfoitb,no_reason_given,high,
thtw70,job_change,high,
tjgh2u,no_reason_given,high,
w5ezy6,no_reason_given,high,
wknqjt,no_reason_given,high,
ydxqte,employer_mismatch,high,
14xok2m,timeline_too_long,medium,
155r5e9,no_reason_given,high,
159bugr,no_reason_given,high,
159h1k3,no_reason_given,high,
15ezm38,no_reason_given,high,
15vwlpu,timeline_too_long,high,
168305x,no_reason_given,high,
18eil7c,employer_mismatch,high,
18jbhbq,employer_mismatch,high,
1i1qf44,job_change,high,
1j2c401,timeline_too_long,high,
1j2that,timeline_too_long,high,
1jt9ny2,servicer_distrust,medium,
1k1ic4s,timeline_too_long,high,
1kah3oo,employer_mismatch,high,
olm3r8,no_reason_given,high,
rgjyul,alternative_strategy,high,
1e45f1l,no_reason_given,high,
1jhmmz1,no_reason_given,high,
1prip3g,servicer_distrust,high,
q9r9j9,no_reason_given,high,
14ur66f,no_reason_given,high,
